cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
19022N3,6664.38,0.343281,10.98008,0.0,0.0519480519480519,0.5324675324675324,0.3116883116883117,0.0,0.0519480519480519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519480519480519,0.0,0.0
16351N2,1851.96,0.607177,23.4697,0.0384615384615384,0.1153846153846153,0.5,0.3076923076923077,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21100N2,2429.65,0.408199,27.68757,0.0,0.0,0.6111111111111112,0.3055555555555556,0.0,0.0555555555555555,0.0138888888888888,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0,0.0,0.0
16200N2,1918.32,0.733503,12.96834,0.0,0.25,0.375,0.25,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19281N2,2012.03,0.533802,29.55916,0.0,0.0408163265306122,0.5510204081632653,0.3673469387755102,0.0,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20563N3,2127.92,0.809619,8.28131,0.0476190476190476,0.1428571428571428,0.4761904761904761,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0
20052N2,1909.05,0.515219,26.26799,0.0,0.0300751879699248,0.5714285714285714,0.3308270676691729,0.0,0.0601503759398496,0.0,0.0,0.0,0.0075187969924812,0.0,0.0,0.0,0.0,0.0,0.0
16173N2,2398.78,0.395166,31.48265,0.0,0.0,0.6111111111111112,0.3194444444444444,0.0,0.0555555555555555,0.0138888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16031N2,2401.96,0.459652,20.89927,0.0,0.0,0.5087719298245614,0.4035087719298245,0.0,0.087719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21311N3,1968.21,0.567372,21.70429,0.0,0.0,0.6229508196721312,0.3442622950819672,0.0,0.0327868852459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13020N2,4408.98,0.2551,28.38023,0.0576923076923076,0.1153846153846153,0.5576923076923077,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20652N2,1535.69,0.904244,9.79025,0.0,0.0,0.5609756097560976,0.3170731707317073,0.0,0.073170731707317,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.024390243902439,0.0,0.0
20153N2,1987.33,0.591735,21.3734,0.0,0.0,0.5714285714285714,0.3214285714285714,0.0,0.0714285714285714,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15200N3,5013.41,0.55678,8.20958,0.0,0.1379310344827586,0.5172413793103449,0.2758620689655172,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20450N2,2589.88,0.514154,14.87352,0.0,0.0,0.5909090909090909,0.3863636363636363,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20311N2,7876.79,0.169088,34.43726,0.0,0.0,0.5571428571428572,0.3857142857142857,0.0,0.0428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857142857142,0.0,0.0,0.0
18110N2,1699.98,0.687086,16.51788,0.0,0.0,0.5957446808510638,0.3617021276595745,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14072N2,4493.87,0.312968,21.4664,0.0,0.0408163265306122,0.5714285714285714,0.3469387755102041,0.0,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16011N2,2201.6,0.422249,29.37192,0.05,0.05,0.55,0.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220N2,2172.46,0.578389,16.06764,0.0,0.0,0.4878048780487805,0.3414634146341463,0.0,0.1463414634146341,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201N2,1936.45,0.606834,17.24318,0.0,0.0,0.6274509803921569,0.3333333333333333,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20402N2,3465.59,0.461471,13.579,0.0,0.04,0.52,0.4,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20530N2,2923.26,0.536625,19.42127,0.0,0.1034482758620689,0.5689655172413793,0.2586206896551724,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
